Object	Pr[possible]	Pr[verylikely]	Pr[likely]	Pr[unlikely]	Pr[veryunlikely]	DS Cost	MajorityVote Cost	NoVote Cost
Aamer Malik:Aamer	6.0E-5	0.0	0.99993	0.0	0.0	1.199916E-4	1.0200000000000002	1.3505112869140814
Aamer Malik:Aamer Haleem	0.14916	0.0	0.0	0.82869	0.02215	0.29714134379999996	1.2000000000000006	1.3505112869140814
Aamer Malik:Aamer Madhani	0.08405	0.0	0.0	0.83121	0.08473	0.30906947360000003	1.3200000000000003	1.3505112869140814
Aamer Malik:Aamir Ali Malik	2.0E-5	0.04977	0.95021	0.0	0.0	0.0946258934	0.8	1.3505112869140814
Aamer Malik:Abd Alameer Abd Ali	4.0E-5	0.0	0.0	0.00697	0.99299	0.014001716599999998	1.382716049382716	1.3505112869140814
Aamer Malik:Alameera	0.0036	0.0	0.0	0.18235	0.81405	0.30991927500000005	0.8888888888888888	1.3505112869140814
Aamer Malik:Faridah Malik	0.00971	0.0	0.0	0.48278	0.50752	0.5191286755999999	0.8	1.3505112869140814
Aamer Malik:Mohammad Aamer Sohail Ali	0.00565	0.0	0.0	0.29907	0.69528	0.43496759819999997	1.6000000000000003	1.3505112869140814
Aamer Malik:Mohammed Aamer	0.18825	0.0	1.0E-5	0.80618	0.00557	0.3167381715999999	1.2600000000000007	1.3505112869140814
Aamer Malik:Zain Malik	0.28996	0.0	0.00285	0.69834	0.00885	0.43737171779999995	1.382716049382716	1.3505112869140814
Aamir Farooque:Aamir Aamir	0.03016	0.0	0.0	0.64533	0.32451	0.4969072686	1.3000000000000003	1.3505112869140814
Aamir Farooque:Aamir Afridi	0.00495	0.0	0.0	0.74451	0.25054	0.3853904118	1.0800000000000003	1.3505112869140814
Aamir Farooque:Aamir Ali Aishwarya	6.5E-4	0.0	0.0	0.16972	0.82963	0.2839872812	1.3333333333333333	1.3505112869140814
Aamir Farooque:Aamir Farooque Shaikh	4.4E-4	7.6E-4	0.9988	0.0	0.0	0.0023984576000000003	1.1600000000000001	1.3505112869140814
