Worker	Error Rate	Quality (Expected)	Quality (Optimized)	Number of Annotations	Gold Tests
A102TEN1MHDUR4	9.41%	38%	39%	78	0
A10LMKX2HO7CVA	---	---	---	10	0
A111FKL6FNYPYE	9.9%	37%	38%	504	0
A11NGJWDZA2MA3	5.59%	51%	57%	104	0
A11VY1EM7T67I1	7.33%	42%	43%	140	0
A122JE350RXCLB	16.17%	13%	7%	20	0
A1264GOK2Z3WSE	5.04%	56%	60%	166	0
A1287ILY9DIZFD	8.4%	43%	47%	339	0
A133XS1OO8YTX3	8.98%	43%	49%	20	0
A136XIJ42RTOHD	6.15%	53%	56%	190	0
A13D1HSMW1OPP4	---	---	---	10	0
A13EV6GB5IYXAQ	---	---	---	10	0
A13FWFC6PS0CTM	---	---	---	10	0
A13T61GJTR2Y9B	6.41%	51%	54%	30	0
A1423KSVTGZ5TH	9.55%	51%	57%	29	0
A142CND4VJ9JWD	5.39%	60%	61%	89	0
A1457LK2Q2IVTO	15.5%	1%	1%	520	0
A14640XT71X4O5	---	---	---	10	0
A148EEW1OL7I10	7.51%	40%	41%	204	0
A14CLZWROI8UCS	8.61%	47%	54%	49	0
A14LPA2ZGNPK2	12.8%	79%	73%	10	0
A14RBV7K2IBWZU	---	---	---	18	0
A14YH9LJH06A7A	10.34%	39%	46%	120	0
A156ZHDYVUUIV5	10.45%	37%	37%	960	0
A15MK127K9F2DZ	12.53%	43%	51%	699	0
A16QYEL5HKGF0A	9.57%	44%	48%	117	0
A16R0TZXN94V6Z	7.48%	49%	51%	197	0
A16UY7B49KYG48	21.23%	25%	29%	9	0
A16YRT0G5I9PVN	12.16%	35%	51%	10	0
A17A3QCG5TQCFF	10.17%	38%	44%	80	0
A17B7SIHJ4UQDT	6.73%	11%	62%	10	0
A17G2QHR8AH5VV	27.58%	29%	26%	20	0
A18MOW743BJWDD	10.7%	39%	42%	40	0
A18TFKNOLHQ2IP	20.32%	0%	0%	10	0
A199PKW9OWJOQV	5.48%	59%	58%	20	0
A19C8GPEJNE8VZ	7.01%	31%	59%	10	0
A19OCN9KO1NWNL	5.61%	52%	56%	500	0
A19P28OVWF54XB	---	---	---	9	0
A19TO0DNMCOXX5	11.32%	71%	66%	20	0
A1A3GP2P3LDG28	---	---	---	20	0
A1A4M7Y5VIBH3U	12.17%	51%	56%	468	0
A1AGPEBQSVPM9A	5.82%	61%	55%	10	0
A1AHKTK82F37T6	10.21%	30%	39%	70	0
A1BPSE4O1CS6CN	---	---	---	20	0
A1C3FUAY462X50	7.0%	46%	45%	209	0
A1C8QK1FPEOOZN	4.96%	55%	68%	10	0
A1CEUJH9DJ15G1	---	---	---	10	0
A1CODS86KLWS42	9.65%	58%	62%	440	0
A1CPLZSLNP0FI7	7.69%	47%	51%	97	0
A1CR0WA81XE9FW	11.18%	23%	24%	10	0
A1D7LGBF7BQN68	9.78%	48%	53%	98	0
A1E3MS4AD1WM8V	20.19%	4%	2%	990	0
A1EK8YNHZHTW1J	20.07%	10%	0%	10	0
A1ENHFQSXOXG6I	8.68%	54%	54%	280	0
A1ET9XYG6FRPMY	---	---	---	10	0
A1F85NEYQYP8LU	6.52%	56%	60%	10	0
A1FDIHWP9E11K8	---	---	---	10	0
A1GHMA7DOZJAVJ	6.63%	52%	54%	110	0
A1HGVG0J4ADJQP	15.93%	28%	33%	10	0
